Ref,Val,Package,PosX,PosY,Rot,Side
"BR1","DB107","Diode_Bridge_DIP-4_W7.62mm_P5.08mm",43.000000,-18.500000,0.000000,top
"C1","470uF","CP_Radial_D8.0mm_P3.50mm",54.000000,-18.500000,0.000000,top
"C2","1uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",68.000000,-18.500000,0.000000,top
"C4","1.5uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",50.000000,-53.000000,0.000000,top
"C5","1.5uF","C_Disc_D5.0mm_W2.5mm_P5.00mm",64.000000,-53.000000,0.000000,top
"C7","10nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",65.000000,-32.000000,0.000000,top
"D2","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",80.000000,-53.500000,0.000000,top
"D3","1N4148","D_DO-35_SOD27_P7.62mm_Horizontal",32.000000,-64.000000,0.000000,top
"F1","MFR050","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",22.000000,-15.500000,0.000000,top
"J1","FERMAX 4-3","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",8.000000,-18.000000,90.000000,top
"J2","DOOR P1-P3","TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",30.000000,-48.000000,90.000000,top
"J3","P1 LEADS","PinHeader_1x02_P2.54mm_Vertical",56.000000,-64.000000,0.000000,top
"JP1","P1 EN","PinHeader_1x02_P2.54mm_Vertical",8.000000,-64.000000,0.000000,top
"K1","G5V-1","Relay_SPDT_Omron_G5V-1",18.000000,-48.000000,0.000000,top
"K2","G5V-1","Relay_SPDT_Omron_G5V-1",44.000000,-64.000000,0.000000,top
"LED1","RED","LED_D5.0mm",76.000000,-32.000000,0.000000,top
"OK1","PC817","DIP-4_W7.62mm",33.000000,-32.000000,0.000000,top
"Q1","2N3904","TO-92_Inline",80.000000,-47.000000,0.000000,top
"Q2","2N3904","TO-92_Inline",24.000000,-64.000000,0.000000,top
"R1","2.2k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",22.000000,-32.000000,0.000000,top
"R2","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",44.000000,-32.000000,0.000000,top
"R3","1M","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",50.000000,-47.000000,0.000000,top
"R5","1M","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",64.000000,-47.000000,0.000000,top
"R6","10k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",65.000000,-36.500000,90.000000,top
"R7","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",76.000000,-38.000000,90.000000,top
"R8","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",72.000000,-47.000000,0.000000,top
"R9","1k","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",16.000000,-64.000000,0.000000,top
"SW1","ENABLE","PinHeader_1x02_P2.54mm_Vertical",80.000000,-18.000000,0.000000,top
"TVS1","P6KE18A","D_DO-41_SOD81_P10.16mm_Horizontal",33.000000,-18.500000,90.000000,top
"U1","MCP1700-5002","TO-92_Inline",64.000000,-18.500000,0.000000,top
"U3","NE556","DIP-14_W7.62mm",56.000000,-36.000000,0.000000,top
